Assessment Name,Relative URL,Duration in mins,Remote Testing,Adaptive/IRT,Test Type,Skills,Description
Salesforce Development (New),https://www.shl.com/solutions/products/product-catalog/view/salesforce-development-new/,15.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Salesforce Development (New)' is a Knowledge & Skills assessment. Duration is 15.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
SAP ABAP (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/sap-abap-advanced-level-new/,12.0,Yes,No,Knowledge & Skills,Technical Skills,The 'SAP ABAP (Advanced Level) (New)' is a Knowledge & Skills assessment. Duration is 12.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
SAP ABAP (Intermediate Level) (New),https://www.shl.com/solutions/products/product-catalog/view/sap-abap-intermediate-level-new/,9.0,Yes,No,Knowledge & Skills,Technical Skills,The 'SAP ABAP (Intermediate Level) (New)' is a Knowledge & Skills assessment. Duration is 9.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
SAP Basis (New),https://www.shl.com/solutions/products/product-catalog/view/sap-basis-new/,9.0,Yes,No,Knowledge & Skills,Technical Skills,The 'SAP Basis (New)' is a Knowledge & Skills assessment. Duration is 9.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
SAP Business Objects WebI (New),https://www.shl.com/solutions/products/product-catalog/view/sap-business-objects-webi-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'SAP Business Objects WebI (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
SAP BW (Business Warehouse) (New),https://www.shl.com/solutions/products/product-catalog/view/sap-bw-business-warehouse-new/,9.0,Yes,No,Knowledge & Skills,Technical Skills,The 'SAP BW (Business Warehouse) (New)' is a Knowledge & Skills assessment. Duration is 9.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
SAP HCM (Human Capital Management) (New),https://www.shl.com/solutions/products/product-catalog/view/sap-hcm-human-capital-management-new/,,Yes,No,Knowledge & Skills,Technical Skills,The 'SAP HCM (Human Capital Management) (New)' is a Knowledge & Skills assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
SAP Hybris (New),https://www.shl.com/solutions/products/product-catalog/view/sap-hybris-new/,20.0,Yes,No,Knowledge & Skills,Technical Skills,The 'SAP Hybris (New)' is a Knowledge & Skills assessment. Duration is 20.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
SAP Materials Management (New),https://www.shl.com/solutions/products/product-catalog/view/sap-materials-management-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'SAP Materials Management (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
SAP SD (Sales and Distribution) (New),https://www.shl.com/solutions/products/product-catalog/view/sap-sd-sales-and-distribution-new/,8.0,Yes,No,Knowledge & Skills,Technical Skills,The 'SAP SD (Sales and Distribution) (New)' is a Knowledge & Skills assessment. Duration is 8.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Search Engine Optimization (New),https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/,12.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Search Engine Optimization (New)' is a Knowledge & Skills assessment. Duration is 12.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Selenium (New),https://www.shl.com/solutions/products/product-catalog/view/selenium-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Selenium (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Shell Scripting (New),https://www.shl.com/solutions/products/product-catalog/view/shell-scripting-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Shell Scripting (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
SHL Verify Interactive - Inductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,20.0,Yes,Yes,,,The 'SHL Verify Interactive - Inductive Reasoning' is a General assessment. Duration is 20.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: .
SHL Verify Interactive – Deductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-deductive-reasoning/,20.0,Yes,Yes,,,The 'SHL Verify Interactive – Deductive Reasoning' is a General assessment. Duration is 20.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: .
SHL Verify Interactive – Numerical Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-reasoning/,20.0,Yes,Yes,,,The 'SHL Verify Interactive – Numerical Reasoning' is a General assessment. Duration is 20.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: .
SHL Verify Interactive G+,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-g/,36.0,Yes,Yes,Ability & Aptitude,,The 'SHL Verify Interactive G+' is a Ability & Aptitude assessment. Duration is 36.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: .
SHL Verify Interactive Numerical Calculation,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-calculation/,10.0,Yes,Yes,Ability & Aptitude,,The 'SHL Verify Interactive Numerical Calculation' is a Ability & Aptitude assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: .
Siebel Development (New),https://www.shl.com/solutions/products/product-catalog/view/siebel-development-new/,8.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Siebel Development (New)' is a Knowledge & Skills assessment. Duration is 8.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Smart Interview Live,https://www.shl.com/solutions/products/product-catalog/view/smart-interview-live/,,Yes,No,Personality & Behavior,,The 'Smart Interview Live' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Smart Interview Live Coding,https://www.shl.com/solutions/products/product-catalog/view/smart-interview-live-coding/,,Yes,No,Knowledge & Skills,Technical Skills,The 'Smart Interview Live Coding' is a Knowledge & Skills assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Smart Interview On Demand,https://www.shl.com/solutions/products/product-catalog/view/smart-interview-on-demand/,,Yes,No,Personality & Behavior,,The 'Smart Interview On Demand' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Social Media (New),https://www.shl.com/solutions/products/product-catalog/view/social-media-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Social Media (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Software Business Analysis,https://www.shl.com/solutions/products/product-catalog/view/software-business-analysis/,30.0,Yes,Yes,Knowledge & Skills,Technical Skills,The 'Software Business Analysis' is a Knowledge & Skills assessment. Duration is 30.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: Technical Skills.
SonarQube (New),https://www.shl.com/solutions/products/product-catalog/view/sonarqube-new/,,Yes,No,Knowledge & Skills,Technical Skills,The 'SonarQube (New)' is a Knowledge & Skills assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Spelling (U.S.) (New),https://www.shl.com/solutions/products/product-catalog/view/spelling-u-s-new/,0.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Spelling (U.S.) (New)' is a Knowledge & Skills assessment. Duration is 0.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Split Screen Typing Test - Form 1,https://www.shl.com/solutions/products/product-catalog/view/split-screen-typing-test-form-1/,6.0,Yes,No,,,The 'Split Screen Typing Test - Form 1' is a General assessment. Duration is 6.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Spring (New),https://www.shl.com/solutions/products/product-catalog/view/spring-new/,9.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Spring (New)' is a Knowledge & Skills assessment. Duration is 9.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
SQL (New),https://www.shl.com/solutions/products/product-catalog/view/sql-new/,9.0,Yes,No,Knowledge & Skills,Technical Skills,The 'SQL (New)' is a Knowledge & Skills assessment. Duration is 9.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
SQL Server (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/,11.0,Yes,No,Knowledge & Skills,Technical Skills,The 'SQL Server (New)' is a Knowledge & Skills assessment. Duration is 11.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
SQL Server Analysis Services (SSAS) (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,15.0,Yes,No,Knowledge & Skills,Technical Skills,The 'SQL Server Analysis Services (SSAS) (New)' is a Knowledge & Skills assessment. Duration is 15.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
SQL Server Integration Services (SSIS) (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-integration-services-ssis-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'SQL Server Integration Services (SSIS) (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
SQL Server Reporting Services (SSRS) (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-reporting-services-ssrs-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'SQL Server Reporting Services (SSRS) (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Statistical Analysis System (New),https://www.shl.com/solutions/products/product-catalog/view/statistical-analysis-system-new/,11.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Statistical Analysis System (New)' is a Knowledge & Skills assessment. Duration is 11.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Struts (New),https://www.shl.com/solutions/products/product-catalog/view/struts-new/,5.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Struts (New)' is a Knowledge & Skills assessment. Duration is 5.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
SVAR - Spoken English (AUS),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-aus/,,Yes,No,Simulations,Practical Skills,The 'SVAR - Spoken English (AUS)' is a Simulations assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Practical Skills.
SVAR - Spoken English (Indian Accent)  (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/,,Yes,No,Simulations,Practical Skills,The 'SVAR - Spoken English (Indian Accent)  (New)' is a Simulations assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Practical Skills.
SVAR - Spoken English (U.K.),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-u-k/,,Yes,No,Simulations,Practical Skills,The 'SVAR - Spoken English (U.K.)' is a Simulations assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Practical Skills.
SVAR - Spoken English (US)  (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-us-new/,,Yes,No,Simulations,Practical Skills,The 'SVAR - Spoken English (US)  (New)' is a Simulations assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Practical Skills.
SVAR - Spoken French (Canadian) (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-french-canadian-new/,,Yes,No,Simulations,Practical Skills,The 'SVAR - Spoken French (Canadian) (New)' is a Simulations assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Practical Skills.
SVAR - Spoken French (European) (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-french-european-new/,,Yes,No,Simulations,Practical Skills,The 'SVAR - Spoken French (European) (New)' is a Simulations assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Practical Skills.
SVAR - Spoken Spanish (Castilian) (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-spanish-castilian-new/,,Yes,No,Simulations,Practical Skills,The 'SVAR - Spoken Spanish (Castilian) (New)' is a Simulations assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Practical Skills.
SVAR - Spoken Spanish (North American) (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-spanish-north-american-new/,,Yes,No,Simulations,Practical Skills,The 'SVAR - Spoken Spanish (North American) (New)' is a Simulations assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Practical Skills.
Swing (New),https://www.shl.com/solutions/products/product-catalog/view/swing-new/,4.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Swing (New)' is a Knowledge & Skills assessment. Duration is 4.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Tableau (New),https://www.shl.com/solutions/products/product-catalog/view/tableau-new/,8.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Tableau (New)' is a Knowledge & Skills assessment. Duration is 8.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Telecommunications Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/telecommunications-engineering-new/,7.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Telecommunications Engineering (New)' is a Knowledge & Skills assessment. Duration is 7.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Teradata Development (New),https://www.shl.com/solutions/products/product-catalog/view/teradata-development-new/,9.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Teradata Development (New)' is a Knowledge & Skills assessment. Duration is 9.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Time Management (U.S.),https://www.shl.com/solutions/products/product-catalog/view/time-management-u-s/,15.0,Yes,Yes,Knowledge & Skills,Technical Skills,The 'Time Management (U.S.)' is a Knowledge & Skills assessment. Duration is 15.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: Technical Skills.
Training Development,https://www.shl.com/solutions/products/product-catalog/view/training-development/,15.0,Yes,Yes,Knowledge & Skills,Technical Skills,The 'Training Development' is a Knowledge & Skills assessment. Duration is 15.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: Technical Skills.
Typing (New),https://www.shl.com/solutions/products/product-catalog/view/typing-new/,2.0,Yes,No,Simulations,Practical Skills,The 'Typing (New)' is a Simulations assessment. Duration is 2.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Practical Skills.
UiPath RPA Development (New),https://www.shl.com/solutions/products/product-catalog/view/uipath-rpa-development-new/,8.0,Yes,No,Knowledge & Skills,Technical Skills,The 'UiPath RPA Development (New)' is a Knowledge & Skills assessment. Duration is 8.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Universal Competency Framework Interview Guide,https://www.shl.com/solutions/products/product-catalog/view/universal-competency-framework-interview-guide/,,Yes,No,,,The 'Universal Competency Framework Interview Guide' is a General assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Universal Competency Framework Job profiling guide,https://www.shl.com/solutions/products/product-catalog/view/universal-competency-framework-job-profiling-guide/,,Yes,No,,,The 'Universal Competency Framework Job profiling guide' is a General assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Universal Competency Framework Profiler Cards (44),https://www.shl.com/solutions/products/product-catalog/view/universal-competency-framework-profiler-cards-44/,,Yes,No,,,The 'Universal Competency Framework Profiler Cards (44)' is a General assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
UNIX (New),https://www.shl.com/solutions/products/product-catalog/view/unix-new/,9.0,Yes,No,Knowledge & Skills,Technical Skills,The 'UNIX (New)' is a Knowledge & Skills assessment. Duration is 9.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
VB.NET (New),https://www.shl.com/solutions/products/product-catalog/view/vb-net-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'VB.NET (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Verify - Deductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/verify-deductive-reasoning/,20.0,Yes,Yes,Ability & Aptitude,,The 'Verify - Deductive Reasoning' is a Ability & Aptitude assessment. Duration is 20.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: .
Verify - Following Instructions,https://www.shl.com/solutions/products/product-catalog/view/verify-following-instructions/,8.0,Yes,No,Ability & Aptitude,,The 'Verify - Following Instructions' is a Ability & Aptitude assessment. Duration is 8.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Verify - G+,https://www.shl.com/solutions/products/product-catalog/view/verify-g/,36.0,Yes,Yes,Ability & Aptitude,,The 'Verify - G+' is a Ability & Aptitude assessment. Duration is 36.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: .
Verify - General Ability Screen,https://www.shl.com/solutions/products/product-catalog/view/verify-general-ability-screen/,10.0,Yes,Yes,Ability & Aptitude,,The 'Verify - General Ability Screen' is a Ability & Aptitude assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: .
Verify - Inductive Reasoning (2014),https://www.shl.com/solutions/products/product-catalog/view/verify-inductive-reasoning-2014/,24.0,Yes,Yes,Ability & Aptitude,,The 'Verify - Inductive Reasoning (2014)' is a Ability & Aptitude assessment. Duration is 24.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: .
Verify - Numerical Ability,https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/,20.0,Yes,Yes,Ability & Aptitude,,The 'Verify - Numerical Ability' is a Ability & Aptitude assessment. Duration is 20.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: .
Verify - Technical Checking - Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-technical-checking-next-generation/,5.0,Yes,No,Ability & Aptitude,,The 'Verify - Technical Checking - Next Generation' is a Ability & Aptitude assessment. Duration is 5.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Verify - Verbal Ability - Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/,15.0,Yes,Yes,Ability & Aptitude,,The 'Verify - Verbal Ability - Next Generation' is a Ability & Aptitude assessment. Duration is 15.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: .
Verify - Working with Information,https://www.shl.com/solutions/products/product-catalog/view/verify-working-with-information/,10.0,Yes,No,Ability & Aptitude,,The 'Verify - Working with Information' is a Ability & Aptitude assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Verify G+ - Ability Test Report,https://www.shl.com/solutions/products/product-catalog/view/verify-g-ability-test-report/,,Yes,No,Ability & Aptitude,,The 'Verify G+ - Ability Test Report' is a Ability & Aptitude assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Verify G+ - Candidate Report,https://www.shl.com/solutions/products/product-catalog/view/verify-g-candidate-report/,,Yes,No,Ability & Aptitude,,The 'Verify G+ - Candidate Report' is a Ability & Aptitude assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Verify Interactive Ability Report,https://www.shl.com/solutions/products/product-catalog/view/verify-interactive-ability-report/,,Yes,No,Ability & Aptitude,,The 'Verify Interactive Ability Report' is a Ability & Aptitude assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Verify Interactive G+ Candidate Report,https://www.shl.com/solutions/products/product-catalog/view/verify-interactive-g-candidate-report/,,Yes,No,Ability & Aptitude,,The 'Verify Interactive G+ Candidate Report' is a Ability & Aptitude assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Verify Interactive G+ Report,https://www.shl.com/solutions/products/product-catalog/view/verify-interactive-g-report/,,Yes,No,Ability & Aptitude,,The 'Verify Interactive G+ Report' is a Ability & Aptitude assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Verify Interactive Process Monitoring,https://www.shl.com/solutions/products/product-catalog/view/verify-interactive-process-monitoring/,18.0,Yes,No,Ability & Aptitude,,The 'Verify Interactive Process Monitoring' is a Ability & Aptitude assessment. Duration is 18.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Virtual Assessment and Development Centers,https://www.shl.com/solutions/products/product-catalog/view/virtual-assessment-and-development-centers/,,Yes,No,Personality & Behavior,,The 'Virtual Assessment and Development Centers' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Visual Basic for Applications (New),https://www.shl.com/solutions/products/product-catalog/view/visual-basic-for-applications-new/,7.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Visual Basic for Applications (New)' is a Knowledge & Skills assessment. Duration is 7.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Visual Comparison - UK,https://www.shl.com/solutions/products/product-catalog/view/visual-comparison-uk/,5.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Visual Comparison - UK' is a Knowledge & Skills assessment. Duration is 5.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Visual Comparison - US,https://www.shl.com/solutions/products/product-catalog/view/visual-comparison-us/,5.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Visual Comparison - US' is a Knowledge & Skills assessment. Duration is 5.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
VLSI and Embedded Systems (New),https://www.shl.com/solutions/products/product-catalog/view/vlsi-and-embedded-systems-new/,9.0,Yes,No,Knowledge & Skills,Technical Skills,The 'VLSI and Embedded Systems (New)' is a Knowledge & Skills assessment. Duration is 9.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
What Is The Value - US,https://www.shl.com/solutions/products/product-catalog/view/what-is-the-value-us/,5.0,Yes,Yes,Knowledge & Skills,Technical Skills,The 'What Is The Value - US' is a Knowledge & Skills assessment. Duration is 5.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: Technical Skills.
Workplace Administration Skills (New),https://www.shl.com/solutions/products/product-catalog/view/workplace-administration-skills-new/,12.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Workplace Administration Skills (New)' is a Knowledge & Skills assessment. Duration is 12.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Workplace Health and Safety (New),https://www.shl.com/solutions/products/product-catalog/view/workplace-health-and-safety-new/,9.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Workplace Health and Safety (New)' is a Knowledge & Skills assessment. Duration is 9.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
WriteX - Email Writing (Customer Service) (New),https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-customer-service-new/,15.0,Yes,No,Simulations,Practical Skills,The 'WriteX - Email Writing (Customer Service) (New)' is a Simulations assessment. Duration is 15.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Practical Skills.
WriteX - Email Writing (Managerial) (New),https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-managerial-new/,15.0,Yes,No,Simulations,Practical Skills,The 'WriteX - Email Writing (Managerial) (New)' is a Simulations assessment. Duration is 15.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Practical Skills.
WriteX - Email Writing (Sales) (New),https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-sales-new/,15.0,Yes,No,,,The 'WriteX - Email Writing (Sales) (New)' is a General assessment. Duration is 15.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Written English v1,https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/,30.0,Yes,Yes,Knowledge & Skills,Technical Skills,The 'Written English v1' is a Knowledge & Skills assessment. Duration is 30.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: Technical Skills.
Written Spanish,https://www.shl.com/solutions/products/product-catalog/view/written-spanish/,22.0,Yes,Yes,Knowledge & Skills,Technical Skills,The 'Written Spanish' is a Knowledge & Skills assessment. Duration is 22.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: Technical Skills.
Zabbix (New),https://www.shl.com/solutions/products/product-catalog/view/zabbix-new/,9.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Zabbix (New)' is a Knowledge & Skills assessment. Duration is 9.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
360 Digital Report,https://www.shl.com/solutions/products/product-catalog/view/360-digital-report/,,Yes,No,Development & 360,,The '360 Digital Report' is a Development & 360 assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
360° Multi-Rater Feedback System (MFS),https://www.shl.com/solutions/products/product-catalog/view/360-multi-rater-feedback-system-mfs/,,Yes,No,,,The '360° Multi-Rater Feedback System (MFS)' is a General assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
